portid,portname,days,avg_total,avg_tanker,avg_cargo,avg_capacity,avg_tanker_capacity,total_total,total_tanker,total_capacity,period,tanker_share
chokepoint17,Bohai Strait,137,163.0657,34.3577,128.708,6241993.1752,649192.4088,22340,4707,855153065,2026 YTD,0.2107
chokepoint17,Bohai Strait,2694,174.8545,36.2817,138.5728,5599361.9458,674300.4183,471058,97743,15084681082,Full record,0.2075
chokepoint17,Bohai Strait,179,163.6704,35.1173,128.5531,6245396.2514,683326.5307,29297,6286,1117925929,Last 180 days,0.2146
chokepoint18,Torres Strait,366,9.4153,2.0765,7.3388,188156.1721,36906.1803,3446,760,68865159,2024,0.2205
chokepoint18,Torres Strait,365,9.5205,2.137,7.3836,201321.0356,35886.6849,3475,780,73482178,2025,0.2245
chokepoint18,Torres Strait,137,8.6788,1.9562,6.7226,187906.7883,40011.7518,1189,268,25743230,2026 YTD,0.2254
chokepoint18,Torres Strait,2694,9.0408,2.02,7.0208,187455.3864,35347.784,24356,5442,505004811,Full record,0.2234
chokepoint18,Torres Strait,179,8.8101,1.9888,6.8212,193343.4972,38167.2514,1577,356,34608486,Last 180 days,0.2257
chokepoint19,Sunda Strait,366,31.9071,12.0246,19.8825,1210522.0984,285552.5984,11678,4401,443051088,2024,0.3769
chokepoint19,Sunda Strait,365,31.5671,11.8658,19.7014,1272051.6658,336194.3041,11522,4331,464298858,2025,0.3759
chokepoint19,Sunda Strait,137,34.1095,12.1606,21.9489,1401756.562,312921.4818,4673,1666,192040649,2026 YTD,0.3565
chokepoint19,Sunda Strait,2694,28.7442,11.1923,17.552,1046118.4792,266740.5382,77437,30152,2818243183,Full record,0.3894
chokepoint19,Sunda Strait,179,33.9665,12.2626,21.7039,1386968.1564,316388.1173,6080,2195,248267300,Last 180 days,0.361
chokepoint2,Panama Canal,366,25.9344,11.0656,14.8689,742859.9645,292626.4536,9492,4050,271886747,2024,0.4267
chokepoint2,Panama Canal,365,30.2822,12.6356,17.6466,891181.9945,322916.3781,11053,4612,325281428,2025,0.4173
chokepoint2,Panama Canal,137,31.5912,13.9562,17.635,961350.9197,368655.8394,4328,1912,131705076,2026 YTD,0.4418
chokepoint2,Panama Canal,2694,30.245,12.4209,17.8241,859598.4729,314147.4362,81480,33462,2315758286,Full record,0.4107
chokepoint2,Panama Canal,179,31.4078,13.7933,17.6145,947928.4749,359953.3464,5622,2469,169679197,Last 180 days,0.4392
chokepoint20,Makassar Strait,366,54.5738,4.8224,49.7514,3049068.7432,57937.3552,19974,1765,1115959160,2024,0.0884
chokepoint20,Makassar Strait,365,46.3068,4.8493,41.4575,2865918.5753,66463.1726,16902,1770,1046060280,2025,0.1047
chokepoint20,Makassar Strait,137,43.3796,4.4088,38.9708,2591291.8175,66790.5985,5943,604,355006979,2026 YTD,0.1016
chokepoint20,Makassar Strait,2694,51.8849,5.1856,46.6993,2772779.2528,66090.8088,139778,13970,7469867307,Full record,0.0999
chokepoint20,Makassar Strait,179,43.5531,4.4134,39.1397,2586134.648,65596.1117,7796,790,462918102,Last 180 days,0.1013
chokepoint21,Magellan Strait,366,4.6475,1.1202,3.5273,149728.1175,36252.3306,1701,410,54800491,2024,0.241
chokepoint21,Magellan Strait,365,3.9753,1.1123,2.863,137707.5041,43453.2822,1451,406,50263239,2025,0.2798
chokepoint21,Magellan Strait,137,3.4088,0.8467,2.562,114802.5839,32660.4307,467,116,15727954,2026 YTD,0.2484
chokepoint21,Magellan Strait,2694,3.8838,0.9766,2.9072,119154.7747,33695.7799,10463,2631,321002963,Full record,0.2515
chokepoint21,Magellan Strait,179,3.486,0.8547,2.6313,119188.419,32134.1006,624,153,21334727,Last 180 days,0.2452
chokepoint22,Yucatan Channel,366,47.806,25.735,22.071,1166517.4508,751766.1749,17497,9419,426945387,2024,0.5383
chokepoint22,Yucatan Channel,365,47.5753,25.2384,22.337,1172291.4795,743338.0849,17365,9212,427886390,2025,0.5305
chokepoint22,Yucatan Channel,137,50.0365,27.7372,22.2993,1270515.7226,827031.1022,6855,3800,174060654,2026 YTD,0.5543
chokepoint22,Yucatan Channel,2694,45.2034,23.2428,21.9607,1078263.8474,675495.6392,121778,62616,2904842805,Full record,0.5142
chokepoint22,Yucatan Channel,179,49.0447,27.0223,22.0223,1234399.2849,799391.6927,8779,4837,220957472,Last 180 days,0.551
chokepoint23,Windward Passage,366,14.7131,1.9672,12.7459,252983.3224,34328.1311,5385,720,92591896,2024,0.1337
chokepoint23,Windward Passage,365,15.2384,1.6822,13.5562,274141.0767,37207.2,5562,614,100061493,2025,0.1104
chokepoint23,Windward Passage,137,15.4088,1.7226,13.6861,287156.6277,44218.3942,2111,236,39340458,2026 YTD,0.1118
chokepoint23,Windward Passage,2694,15.3385,2.0783,13.2602,270780.389,41916.667,41322,5599,729482368,Full record,0.1355
chokepoint23,Windward Passage,179,14.9553,1.5642,13.3911,276021.7709,38781.3966,2677,280,49407897,Last 180 days,0.1046
chokepoint24,Mona Passage,366,10.3333,2.5273,7.806,265935.5219,68708.1803,3782,925,97332401,2024,0.2446
chokepoint24,Mona Passage,365,10.5233,2.474,8.0493,284775.1945,70688.7041,3841,903,103942946,2025,0.2351
chokepoint24,Mona Passage,137,10.9051,2.6788,8.2263,305689.6642,66672.1898,1494,367,41879484,2026 YTD,0.2456
chokepoint24,Mona Passage,2694,10.2112,2.4729,7.7383,270279.7465,63313.3155,27509,6662,728133637,Full record,0.2422
chokepoint24,Mona Passage,179,10.8492,2.648,8.2011,303082.4246,68979.352,1942,474,54251754,Last 180 days,0.2441
chokepoint25,Balabac Strait,366,10.806,3.6175,7.1885,252239.9617,34506.153,3955,1324,92319826,2024,0.3348
chokepoint25,Balabac Strait,365,8.8932,2.8932,6.0,218811.2658,33341.7123,3246,1056,79866112,2025,0.3253
chokepoint25,Balabac Strait,137,8.9051,2.9562,5.9489,203435.0073,32737.5036,1220,405,27870596,2026 YTD,0.332
chokepoint25,Balabac Strait,2694,10.3163,3.4929,6.8233,268152.6173,35037.7339,27792,9410,722403151,Full record,0.3386
chokepoint25,Balabac Strait,179,8.6369,2.8324,5.8045,207049.8268,33455.9944,1546,507,37061919,Last 180 days,0.3279
chokepoint26,Bering Strait,366,0.8388,0.4317,0.4071,14760.5355,9147.6585,307,158,5402356,2024,0.5147
chokepoint26,Bering Strait,365,0.9836,0.4356,0.5479,19153.7342,12470.8493,359,159,6991113,2025,0.4429
chokepoint26,Bering Strait,137,0.0876,0.0146,0.073,1468.365,505.7226,12,2,201166,2026 YTD,0.1667
chokepoint26,Bering Strait,2694,0.7732,0.3352,0.438,11853.5954,5482.0308,2083,903,31933586,Full record,0.4335
chokepoint26,Bering Strait,179,0.1453,0.0335,0.1117,2605.3073,1323.1341,26,6,466350,Last 180 days,0.2308
chokepoint27,Mindoro Strait,366,43.2131,3.2514,39.9617,2279767.6339,42133.8607,15816,1190,834394954,2024,0.0752
chokepoint27,Mindoro Strait,365,33.4027,2.6767,30.726,1871497.7726,45831.7479,12192,977,683096687,2025,0.0801
chokepoint27,Mindoro Strait,137,36.0511,3.3431,32.708,1899622.073,58694.3212,4939,458,260248224,2026 YTD,0.0927
chokepoint27,Mindoro Strait,2694,44.6934,3.6362,41.0572,2279070.7791,51998.4243,120404,9796,6139816679,Full record,0.0814
chokepoint27,Mindoro Strait,179,35.4022,3.1453,32.257,1884136.3408,56726.2011,6337,563,337260405,Last 180 days,0.0888
chokepoint28,Kerch Strait,366,4.623,1.1913,3.4317,13282.1967,4678.5929,1692,436,4861284,2024,0.2577
chokepoint28,Kerch Strait,365,13.6849,3.9479,9.737,67668.1726,32224.389,4995,1441,24698883,2025,0.2885
chokepoint28,Kerch Strait,137,11.781,2.4307,9.3504,52007.0,15327.1241,1614,333,7124959,2026 YTD,0.2063
chokepoint28,Kerch Strait,2694,27.6024,6.7739,20.8285,63575.2004,23132.0148,74361,18249,171271590,Full record,0.2454
chokepoint28,Kerch Strait,179,12.1453,2.8156,9.3296,67277.0559,23316.3966,2174,504,12042593,Last 180 days,0.2318
chokepoint3,Bosporus Strait,366,96.9645,24.4153,72.5492,1187392.2978,474033.9891,35489,8936,434585581,2024,0.2518
chokepoint3,Bosporus Strait,365,91.6,23.5699,68.0301,1158536.8575,491919.3616,33434,8603,422865953,2025,0.2573
chokepoint3,Bosporus Strait,137,83.4818,20.2263,63.2555,1075264.6642,419955.6496,11437,2771,147311259,2026 YTD,0.2423
chokepoint3,Bosporus Strait,2694,95.5171,23.2591,72.258,1181583.4826,459729.294,257323,62660,3183185902,Full record,0.2435
chokepoint3,Bosporus Strait,179,84.8994,20.8101,64.0894,1096704.5642,433936.5028,15197,3725,196310117,Last 180 days,0.2451
chokepoint4,Bab el-Mandeb Strait,366,32.2951,11.5628,20.7322,1161635.9727,579246.4945,11820,4232,425158766,2024,0.358
chokepoint4,Bab el-Mandeb Strait,365,33.0849,11.3945,21.6904,1201194.3836,596053.1342,12076,4159,438435950,2025,0.3444
chokepoint4,Bab el-Mandeb Strait,137,33.0438,12.1095,20.9343,1210693.7445,615124.2701,4527,1659,165865043,2026 YTD,0.3665
chokepoint4,Bab el-Mandeb Strait,2694,51.8519,17.3085,34.5434,2280908.2799,830445.8441,139689,46629,6144766906,Full record,0.3338
chokepoint4,Bab el-Mandeb Strait,179,33.1508,12.0223,21.1285,1217772.324,611195.2849,5934,2152,217981246,Last 180 days,0.3627
chokepoint5,Malacca Strait,366,222.2404,81.276,140.9645,8488465.8279,3411706.8251,81340,29747,3106778493,2024,0.3657
chokepoint5,Malacca Strait,365,233.0548,82.0,151.0548,9055311.589,3542954.7425,85065,29930,3305188730,2025,0.3518
chokepoint5,Malacca Strait,137,223.5912,75.8175,147.7737,8290815.5474,2896064.4015,30632,10387,1135841730,2026 YTD,0.3391
chokepoint5,Malacca Strait,2694,197.0345,75.2313,121.8033,7547972.7257,3187685.9491,530811,202673,20334238523,Full record,0.3818
chokepoint5,Malacca Strait,179,226.6816,77.838,148.8436,8562296.2849,3101472.6089,40576,13933,1532651035,Last 180 days,0.3434
